PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
100;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
100.1;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
100.2;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
179.8;180;100;10/3;100;16/3;100;1000/3;100;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
179.9;180;100;10/3;100;16/3;100;1000/3;100;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
180;180;100;10/3;100;16/3;100;1000/3;100;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
180.1;180;100;10/3;100;16/3;100;1000/3;100;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
180.2;180;100;10/3;100;16/3;100;1000/3;100;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
189.8;190;100;25/3;100;40/3;100;2500/3;100;4000/3;-;-;-;-;-;-;-;-;-;-;-;
189.9;190;100;25/3;100;40/3;100;2500/3;100;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
190;190;100;25/3;100;40/3;100;2500/3;100;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
190.1;190;100;25/3;100;40/3;100;2500/3;100;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
190.2;190;100;25/3;100;40/3;100;2500/3;100;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
190.3;190.5;100;F/3;100;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
190.4;190.5;100;F/3;100;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
190.5;190.5;100;F/3;100;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
190.6;190.5;100;F/3;100;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
190.7;190.5;100;F/3;100;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
199.8;200;125;6/3;125;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
199.9;200;125;6/3;125;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
200;200;125;6/3;125;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
200.1;200;125;6/3;125;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
200.2;200;125;6/3;125;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
209.6;125;D/3;125;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
209.6;125;D/3;125;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
